date,chamber,avg_leafmass,avg_leafarea,leaves,total_leaf_mass,total_leaf_area,branch_mass,canopy_position,purpose,collector,notes
2012-12-09,C01,52.15,0.56,1,0.56,52.15,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C01,45.38,0.48,1,0.48,45.38,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C01,48.98,0.52,1,0.52,48.98,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C01,48.08,0.49,1,0.49,48.08,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C10,34.28,0.46,1,0.46,34.28,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C10,31.42,0.41,1,0.41,31.42,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C10,37.88,0.39,1,0.39,37.88,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C10,31.61,0.3,1,0.3,31.61,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C11,44.72,0.46,1,0.46,44.72,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C11,25.71,0.31,1,0.31,25.71,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C11,46.98,0.74,1,0.74,46.98,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C11,52.04,0.57,1,0.57,52.04,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C12,51.2,0.71,1,0.71,51.2,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C12,42.62,0.42,1,0.42,42.62,NA,shade,water potential,"campany, courtney",dried/ground
2012-12-09,C12,45.23,0.67,1,0.67,45.23,NA,sun,water potential,"campany, courtney",dried/ground
2012-12-09,C12,47.14,0.82,1,0.82,47.14,NA,shade,water potential,"campany, courtney",dried/ground
2013-05-15,C01,0.4543,48.9233,3,1.3628,146.77,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C01,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C02,0.346,45.3933,3,1.0379,136.18,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C02,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C03,0.3287,34.33,3,0.986,102.99,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C03,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C04,0.3939,40.0167,3,1.1816,120.05,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C04,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C05,0.3272,26.52,3,0.9817,79.56,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C05,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C06,0.324,32.3567,3,0.9721,97.07,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C06,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C07,0.3984,41.1333,3,1.1953,123.4,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C07,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C08,0.4388,45.99,3,1.3164,137.97,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C08,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C09,0.5524,50.6433,3,1.6571,151.93,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
